username, created_at, lng, lat, text
TheDonDrew, Fri Apr 24 02:00:27 +0000 2020, -74.162658, 40.792103, YES!!! Don’t specialize your kids.
sonopiyochan, Fri Apr 24 02:00:28 +0000 2020, -73.968542, 40.780709, @arumakanyc 素敵素敵！！本当、ありがたいですね😭おまめさんも教えていただきありがとうございます！いつ開くのか分からず焦ってたので！
KenKraetzer, Fri Apr 24 02:00:28 +0000 2020, -73.754737, 41.026204, We work to help women in business 1. Improve skills2. Be entrepreneurial3. Improve wellness4. Those in transiti… https://t.co/Ubm5xDM7Ee
velez_melitza, Fri Apr 24 02:00:28 +0000 2020, -75.483936, 40.591825, It’s crazy how much I feel Him move 🥰
tiffanymariexx3, Fri Apr 24 02:00:29 +0000 2020, -73.948775, 40.655138, @ilovetoby945 You can’t pee and sing at the same time 🤷🏽‍♀️
RobertBurnsTV, Fri Apr 24 02:00:29 +0000 2020, -77.641937, 43.057039, @OmarKelly Leave it to a Tom Brady lead team to screw the #Dolphins again
MaryAnnReilly, Fri Apr 24 02:00:29 +0000 2020, -74.347306, 40.999047, @Acyn Into the lungs!
TheNorthwest, Fri Apr 24 02:00:30 +0000 2020, -73.586063, 40.861779, Glad to keep you comfy during the draft! #NFLDraft #Northwest
gunclemicah, Fri Apr 24 02:00:30 +0000 2020, -73.652927, 42.670703, What the actual fuck
bettyelfeo, Fri Apr 24 02:00:31 +0000 2020, -73.948775, 40.655138, honestly now is not the time to have suspended azealia banks’ account
StephanJulie, Fri Apr 24 02:00:31 +0000 2020, -79.913521, 43.260695, Drafting defence &gt;&gt;&gt;&gt; Wide Receivers
JenSekella, Fri Apr 24 02:00:31 +0000 2020, -76.846078, 42.089410, She has got to be insane.
GalloDelNorte, Fri Apr 24 02:00:31 +0000 2020, -73.948775, 40.655138, White people be so ignorant
Mbarnes_31, Fri Apr 24 02:00:32 +0000 2020, -74.374732, 41.487740, Wow!!!!
mandijuliet, Fri Apr 24 02:00:32 +0000 2020, -72.881573, 41.599006, my brother tried telling me kids cant read analog clocks so theyre replacing them with digitals in schools?? 🥴🥴
RAQUELINFANTE2, Fri Apr 24 02:00:32 +0000 2020, -74.006400, 40.714200, Hoy nuestro invitado en Pa’que te enteres con Raquel Infante fue el Guante de Oro de LN hace unos años… https://t.co/OqBXljvhXN
eaglesnest365, Fri Apr 24 02:00:32 +0000 2020, -77.604684, 41.117936, @skyepaul0925 Im thinking jeudy slipping cause of those reports of his knee .. But i think Jefferson makes it to 21
bigfACEs_06, Fri Apr 24 02:00:33 +0000 2020, -73.948775, 40.655138, Good god
igobyLu, Fri Apr 24 02:00:33 +0000 2020, -78.948208, 43.748102, @BrownViolate This part made me soooo Happy 😂😂
YvesDarbouze, Fri Apr 24 02:00:33 +0000 2020, -73.948775, 40.655138, I love this pick.  He steam rolls DL
